chipher,year,profile_name,direction_code,direction_name
БАСО,2019,Создание автоматизированных систем в защищенном исполнении,10.05.03,Информационная безопасность автоматизированных систем
БАСО,2020,Создание автоматизированных систем в защищенном исполнении,10.05.03,Информационная безопасность автоматизированных систем
БАСО,2021,Разработка автоматизированных систем в защищенном исполнении,10.05.03,Информационная безопасность автоматизированных систем
БАСО,2022,Разработка автоматизированных систем в защищенном исполнении,10.05.03,Информационная безопасность автоматизированных систем
БББО,2019,Организация и технология защиты информации,10.03.01,Информационная безопасность
БББО,2020,Организация и технология защиты информации,10.03.01,Информационная безопасность
БББО,2021,Организация и технология защиты информации,10.03.01,Информационная безопасность
БББО,2022,Организация и технология защиты информации,10.03.01,Информационная безопасность
ББМО,2020,Информационная безопасность объектов критической информационной инфраструктуры,10.04.01,Информационная безопасность
ББМО,2021,Комплексное обеспечение информационной безопасности автоматизированных систем и объектов информатизации,10.04.01,Информационная безопасность
ББМО,2022,Киберразведка и противодействие угрозам с применением технологий искусственного интеллекта,10.04.01,Информационная безопасность
ББСО,2019,Информационно-аналитическое обеспечение правоохранительной деятельности,10.05.05,Безопасность информационных технологий в правоохранительной сфере
ББСО,2020,Информационно-аналитическое обеспечение правоохранительной деятельности,10.05.05,Безопасность информационных технологий в правоохранительной сфере
ББСО,2021,Компьютерная экспертиза,10.05.05,Безопасность информационных технологий в правоохранительной сфере
ББСО,2022,Компьютерная экспертиза,10.05.05,Безопасность информационных технологий в правоохранительной сфере
БИСО,2019,Автоматизация информационно-аналитической деятельности,10.05.04,Информационно-аналитические системы безопасности
БИСО,2020,Автоматизация информационно-аналитической деятельности,10.05.04,Информационно-аналитические системы безопасности
БИСО,2021,Автоматизация информационно-аналитической деятельности,10.05.04,Информационно-аналитические системы безопасности
БИСО,2022,специализация №3 'Технологии информационно-аналитического мониторинга',10.05.04,Информационно-аналитические системы безопасности
БОСО,2019,Гражданско-правовая,40.05.01,Правовое обеспечение национальной безопасности
БОСО,2019,Уголовно-правовая,40.05.01,Правовое обеспечение национальной безопасности
БОСО,2020,Гражданско-правовая,40.05.01,Правовое обеспечение национальной безопасности
БОСО,2021,Гражданско-правовая,40.05.01,Правовое обеспечение национальной безопасности
БОСО,2022,Гражданско-правовая,40.05.01,Правовое обеспечение национальной безопасности
БОСО,2022,Уголовно-правовая,40.05.01,Правовое обеспечение национальной безопасности
БПБО,2019,Аналитическое приборостроение и интеллектуальные системы безопасности,12.03.01,Приборостроение
БПБО,2020,Аналитическое приборостроение и интеллектуальные системы безопасности,12.03.01,Приборостроение
БПБО,2021,Аналитическое приборостроение и интеллектуальные системы безопасности,12.03.01,Приборостроение
БПБО,2022,Интеллектуальные системы безопасности и аналитическое приборостроение,12.03.01,Приборостроение
БПМО,2020,Интеллектуальные приборные комплексы,12.04.01,Приборостроение
БПМО,2021,Интеллектуальные приборные комплексы,12.04.01,Приборостроение
БСБО,2019,"Аппаратное, программное и математическое обеспечение безопасности информационных систем",09.03.02,Информационные системы и технологии
БСБО,2019,Информационное обеспечение комплексной безопасности организации,09.03.02,Информационные системы и технологии
БСБО,2019,Технологии искусственного интеллекта в безопасности,09.03.02,Информационные системы и технологии
